fecha,entidad,fondo,nemotecnico,moneda,valor_cop
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR RETIRO PROGRAMADO,BGLT30071154,USD,3962529297.9
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR RETIRO PROGRAMADO,BGLT32180141,USD,3267525803.4
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR RETIRO PROGRAMADO,BGLT32180141,USD,6535051606.8
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR RETIRO PROGRAMADO,BGLT30071154,USD,15850117191.6
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR CONSERVADOR,BGLT12071136,USD,39218604903.0
2026-01,Colfondos,FONDO DE CESANTIAS LEY 50,BGLT30150645,USD,1646624228.58
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR RETIRO PROGRAMADO,BGLT30071154,USD,7925058595.8
2026-01,Porvenir,FONDO DE CESANTIAS,BGLT30150645,USD,5214310057.17
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR RETIRO PROGRAMADO,BGLT05250430,USD,5898977508.15
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR CONSERVADOR,BGLT30260244,USD,15401659167.0
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR CONSERVADOR,BGLT30071154,USD,3962529297.9
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR CONSERVADOR,BGLT12071136,USD,3921860490.3
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR CONSERVADOR,BGLT30150549,USD,33181282975.99
2026-01,Colfondos,FONDO DE PENSIONES MODERADO,BGLT30150645,USD,30188110857.3
2026-01,Colfondos,FONDO DE PENSIONES MODERADO,BGLT30150645,USD,15094055428.65
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIO MODERADO,BGLT11020234,USD,77679441274.5
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIO MODERADO,BGLT12071136,USD,27453023432.1
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIO MODERADO,BGLT30150645,USD,24699363428.7
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIO MODERADO,BGLT31180937,USD,203051295994.68
2026-01,Colfondos,FONDO DE PENSIONES COLFONDOS MAYOR RIESGO,BGLT30150645,USD,32383609828.74
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIO MODERADO,BGLT30071154,USD,33681499032.15
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIO MODERADO,BGLT30071154,USD,19812646489.5
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIO MODERADO,BGLT32180141,USD,45745361247.6
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIO MODERADO,BGLT11020234,USD,23901366546.0
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIO MODERADO,BGLT32180141,USD,16337629017.0
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIO MODERADO,BGLT10250435,USD,41360324148.0
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIO MODERADO,BGLT12141135,USD,39986467227.0
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIO MODERADO,BGLT30071154,USD,25756440436.35
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIO MODERADO,BGLT12071136,USD,31374883922.4
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIO MODERADO,BGLT11200433,USD,32295731436.0
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIO MODERADO,BGLT11200433,USD,16147865718.0
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIO MODERADO,BGLT32180141,USD,13070103213.6
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIO MODERADO,BGLT12071136,USD,15687441961.2
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIO MODERADO,BGLT30071154,USD,79250585958.0
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIO MODERADO,BGLT30071154,USD,15850117191.6
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIO MODERADO,BGLT12071136,USD,11765581470.9
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIO MODERADO,BGLT32180141,USD,16337629017.0
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIO MODERADO,BGLT05250430,USD,25562235868.65
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIO MODERADO,BGLT12071136,USD,68632558580.25
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIO MODERADO,BGLT30150645,USD,41165605714.5
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIO MODERADO,BGLT11200433,USD,12110899288.5
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIO MODERADO,BGLT30150549,USD,34477642327.5
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIO MODERADO,BGLT30071154,USD,71325527362.2
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIO MODERADO,BGLT30150549,USD,15299798559.25
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIO MODERADO,BGLT12071136,USD,15687441961.2
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIO MODERADO,BGLT32180141,USD,32675258034.0
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIO MODERADO,BGLT30071154,USD,67362998064.3
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIO MODERADO,BGLT03190928,EUR,4646040564.7
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIO MODERADO,BGLT30071154,USD,59437939468.5
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIO MODERADO,BGLT30071154,USD,110950820341.2
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIO MODERADO,BGLT30071154,USD,87175644553.8
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIO MODERADO,BGLT12141135,USD,15994586890.8
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIO MODERADO,BGLT30071154,USD,19812646489.5
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIO MODERADO,BGLT30150549,USD,13791056931.0
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIO MODERADO,BGLT32180141,USD,16337629017.0
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIO MODERADO,BGLT30071154,USD,51512880872.7
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIO MODERADO,BGLT12071136,USD,39218604903.0
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIO MODERADO,BGLT30150645,USD,41165605714.5
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIO MODERADO,BGLT30150645,USD,23853273012.58
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIO MODERADO,BGLT10250435,USD,16544129659.2
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIO MODERADO,BGLT32180141,USD,32675258034.0
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIO MODERADO,BGLT30071154,USD,19812646489.5
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIO MODERADO,BGLT31180937,USD,57794486526.0
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIO MODERADO,BGLT30071154,USD,33681499032.15
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIO MODERADO,BGLT30071154,USD,11887587893.7
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIO MODERADO,BGLT30150645,USD,13721868571.5
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIO MODERADO,BGLT30150645,USD,16466242285.8
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIO MODERADO,BGLT30071154,USD,19812646489.5
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIO MODERADO,BGLT30150549,USD,22065691089.6
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIO MODERADO,BGLT32180141,USD,9802577410.2
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIO MODERADO,BGLT12071136,USD,31374883922.4
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIO MODERADO,BGLT30150549,USD,24823902475.8
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIO MODERADO,BGLT32180141,USD,16337629017.0
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIO MODERADO,BGLT30150549,USD,13791056931.0
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIO MODERADO,BGLT12071136,USD,15687441961.2
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIO MODERADO,BGLT30150549,USD,27582113862.0
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIO MODERADO,BGLT30260244,USD,616066.37
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIO MODERADO,BGLT32180141,USD,19605154820.4
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIO MODERADO,BGLT11020234,USD,23901366546.0
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR MAYOR RIESGO,BGLT30071154,USD,23775175787.4
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR MAYOR RIESGO,BGLT32180141,USD,13070103213.6
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR MAYOR RIESGO,BGLT30071154,USD,19812646489.5
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR MAYOR RIESGO,BGLT30071154,USD,27737705085.3
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR MAYOR RIESGO,BGLT32180141,USD,16337629017.0
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR MAYOR RIESGO,BGLT32180141,USD,19605154820.4
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR MAYOR RIESGO,BGLT30260244,USD,2507390112.39
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR MAYOR RIESGO,BGLT12071136,USD,27453023432.1
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR MAYOR RIESGO,BGLT12141135,USD,15586724925.08
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR MAYOR RIESGO,BGLT32180141,USD,16337629017.0
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR MAYOR RIESGO,BGLT30071154,USD,19812646489.5
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR MAYOR RIESGO,BGLT11200433,USD,8073932859.0
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR MAYOR RIESGO,BGLT32180141,USD,13070103213.6
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR MAYOR RIESGO,BGLT30260244,USD,17163300942.52
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR MAYOR RIESGO,BGLT31180937,USD,94397661325.8
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR MAYOR RIESGO,BGLT30260244,USD,4429517176.43
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR MAYOR RIESGO,BGLT32180141,USD,26140206427.2
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR MAYOR RIESGO,BGLT30071154,USD,11887587893.7
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR MAYOR RIESGO,BGLT30260244,USD,5809505837.79
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR MAYOR RIESGO,BGLT30150645,USD,5530461909.06
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR MAYOR RIESGO,BGLT30150645,USD,12330745535.72
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR MAYOR RIESGO,BGLT30260244,USD,4041087332.24
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR MAYOR RIESGO,BGLT12071136,USD,19609302451.5
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR MAYOR RIESGO,BGLT30260244,USD,4993833968.31
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR MAYOR RIESGO,BGLT30071154,USD,13868852542.65
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR MAYOR RIESGO,BGLT30071154,USD,47550351574.8
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR MAYOR RIESGO,BGLT30260244,USD,5500548554.9
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR MAYOR RIESGO,BGLT32180141,USD,9802577410.2
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR MAYOR RIESGO,BGLT30260244,USD,7030857409.74
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR MAYOR RIESGO,BGLT32180141,USD,49012887051.0
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR MAYOR RIESGO,BGLT30260244,USD,12552660254.29
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR MAYOR RIESGO,BGLT32180141,USD,32675258034.0
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR MAYOR RIESGO,BGLT30150227,USD,1945385804.7
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR MAYOR RIESGO,BGLT30260244,USD,2527104236.12
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR MAYOR RIESGO,BGLT11020234,USD,15934244364.0
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR MAYOR RIESGO,BGLT30260244,USD,27722986500.6
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR MAYOR RIESGO,BGLT11200433,USD,32295731436.0
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR MAYOR RIESGO,BGLT12141135,USD,11995940168.1
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR MAYOR RIESGO,BGLT32180141,USD,9802577410.2
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR MAYOR RIESGO,BGLT30260244,USD,14125169655.24
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR MAYOR RIESGO,BGLT30071154,USD,7925058595.8
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR MAYOR RIESGO,BGLT30071154,USD,11887587893.7
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR MAYOR RIESGO,BGLT30071154,USD,59437939468.5
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR MAYOR RIESGO,BGLT12071136,USD,7843720980.6
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR MAYOR RIESGO,BGLT30150549,USD,7058262937.29
2026-01,Porvenir,FONDO DE PENSIONES OBLIGATORIAS PORVENIR MAYOR RIESGO,BGLT30260244,USD,3539301276.58
